"",股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
22,839719,宁新新材,10.79,18.48,18.99,16.35,16.4,1.8,32.07,3.4,-16.12,234763,426620987.55,16.68,1720366032,1352618874,0.839719,深A,2025-09-03 15:38:44,2025-09-03
5360,600410,华胜天成,-9.09,21.7,24.2,21.48,24.19,-2.17,29.62,0.79,85.11,3248056,7353457582.0,23.87,23793934621,23793934621,1.600410,沪A,2025-09-03 16:11:52,2025-09-03
5191,603626,科森科技,-5.89,16.79,18.19,16.06,17.84,-1.05,29.47,0.99,-44.27,1635098,2820989332.0,17.84,9316429995,9316429995,1.603626,沪A,2025-09-03 16:11:57,2025-09-03
264,603032,德新科技,2.89,25.6,27.37,24.84,27.3,0.72,29.18,4.54,133.73,676099,1769203717.0,24.88,5977975808,5930573824,1.603032,沪A,2025-09-03 16:11:34,2025-09-03
139,833346,威贸电子,4.76,32.77,38.5,31.74,35.04,1.49,27.90,4.09,54.09,124490,440694160.53,31.28,2643805050,1462319239,0.833346,深A,2025-09-03 15:38:44,2025-09-03
4,300827,上能电气,20.01,30.11,30.11,25.1,25.29,5.02,27.26,2.92,37.72,1045150,2859524264.28,25.09,15125649020,11542484769,0.300827,深A,2025-09-03 15:34:42,2025-09-03
5113,002846,英联股份,-5.31,19.08,20.47,18.7,19.8,-1.07,27.17,2.42,159.14,698241,1349728664.43,20.15,8013478575,4903905272,0.002846,深A,2025-09-03 15:34:09,2025-09-03
4401,603382,海阳科技,-3.54,39.49,40.63,38.25,40.63,-1.45,26.98,0.54,45.39,95837,375003998.0,40.94,7157616522,1402718761,1.603382,沪A,2025-09-03 16:11:48,2025-09-03
6,300801,泰和科技,19.99,30.19,30.19,24.51,25.19,5.03,26.92,2.2,58.49,367489,1014947802.59,25.16,6594401700,4120667064,0.300801,深A,2025-09-03 15:34:54,2025-09-03
118,600246,万通发展,5.19,14.99,15.45,14.08,14.77,0.74,26.17,1.1,-505.28,4947127,7356847944.0,14.25,28337283015,28337283015,1.600246,沪A,2025-09-03 16:11:47,2025-09-03
38,603163,圣晖集成,10.0,44.77,44.77,39.54,40.5,4.07,26.11,1.37,35.84,91407,401040358.0,40.7,4477000000,1567073118,1.603163,沪A,2025-09-03 16:11:56,2025-09-03
5398,836720,吉冈精密,-10.52,18.21,19.7,17.8,19.66,-2.14,25.62,1.55,75.07,183430,342524466.64,20.35,4849453384,1303624454,0.836720,深A,2025-09-03 15:38:44,2025-09-03
2,300277,海联讯,20.03,15.46,15.46,13.67,13.71,2.58,25.27,7.54,1686.95,862577,1304023289.53,12.88,5282682000,5276725973,0.300277,深A,2025-09-03 15:34:45,2025-09-03
30,001380,华纬科技,10.01,27.15,27.15,24.33,24.8,2.47,25.19,2.99,28.96,221652,570878898.7,24.68,7353691747,2389304609,0.001380,深A,2025-09-03 15:34:45,2025-09-03
5350,002104,恒宝股份,-8.55,23.73,25.59,23.58,25.01,-2.22,24.77,0.81,237.72,1485161,3640438097.15,25.95,16808437254,14230406495,0.002104,深A,2025-09-03 15:34:18,2025-09-03
213,300786,国林科技,3.4,16.73,17.2,15.9,16.13,0.55,24.49,3.46,-155.77,359170,595447764.5,16.18,3078585656,2453361548,0.300786,深A,2025-09-03 15:34:18,2025-09-03
384,830779,武汉蓝电,1.85,46.2,48.18,44.0,45.33,0.84,24.24,1.57,62.52,48554,227399105.64,45.36,3699452064,925533932,0.830779,深A,2025-09-03 15:38:44,2025-09-03
539,600592,龙溪股份,0.97,29.28,31.49,28.89,30.88,0.28,23.99,1.91,90.32,958629,2893527715.0,29.0,11698928559,11698928559,1.600592,沪A,2025-09-03 16:11:56,2025-09-03
4458,301362,民爆光电,-3.63,48.52,54.58,47.98,50.06,-1.83,23.83,1.51,23.71,70713,361292959.82,50.35,5078588400,1439588400,0.301362,深A,2025-09-03 15:34:09,2025-09-03
303,002165,红 宝 丽,2.52,10.19,10.5,9.38,9.94,0.25,23.75,1.06,153.6,1728127,1736281967.29,9.94,7492399639,7414544564,0.002165,深A,2025-09-03 15:34:54,2025-09-03
54,300409,道氏技术,9.74,23.22,24.38,21.62,22.25,2.06,23.27,1.99,39.42,1599913,3677168421.91,21.16,18163820689,15963509487,0.300409,深A,2025-09-03 15:34:09,2025-09-03
2631,300945,曼卡龙,-2.05,22.0,24.57,21.48,22.3,-0.46,22.95,2.01,37.59,547045,1250654466.54,22.46,5765575838,5244814234,0.300945,深A,2025-09-03 15:34:06,2025-09-03
82,300035,中科电气,6.21,21.9,22.2,20.38,20.8,1.28,22.70,1.45,27.56,1324359,2855224319.74,20.62,15010844095,12775324047,0.300035,深A,2025-09-03 15:34:33,2025-09-03
551,301161,唯万密封,0.92,34.93,35.9,33.53,34.4,0.32,22.30,1.63,43.64,118916,414959978.62,34.61,4191600000,1862747040,0.301161,深A,2025-09-03 15:34:51,2025-09-03
227,920056,能之光,3.23,30.38,31.8,29.45,29.45,0.95,22.14,1.11,40.88,67826,207457439.63,29.43,2414441386,930556717,0.920056,深A,2025-09-03 15:38:44,2025-09-03
